question,correct_answer,category,difficulty,explanation
Is the Sun a star?,TRUE,Science,Easy,The Sun is a star at the center of the solar system.
Does sound travel in vacuum?,FALSE,Physics,Easy,Sound needs a medium to travel.
Is Earth the third planet from the Sun?,TRUE,Space,Easy,Earth is the third planet in the solar system.
Is the Moon a planet?,FALSE,Space,Easy,The Moon is a natural satellite.
Is water made of hydrogen and oxygen?,TRUE,Science,Easy,Water's chemical formula is H2O.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
Is India located in Asia?,TRUE,Geography,Easy,India is part of South Asia.
Is Antarctica the hottest continent?,FALSE,Geography,Easy,Antarctica is the coldest continent.
Does light travel faster than sound?,TRUE,Physics,Easy,Light speed is much faster than sound.
Is Python a programming language?,TRUE,Technology,Easy,Python is widely used in software development.
Is Java older than C language?,FALSE,Technology,Medium,C was created before Java.
Do humans have 206 bones?,TRUE,Biology,Easy,Adults typically have 206 bones.
Is Venus the closest planet to the Sun?,FALSE,Space,Easy,Mercury is closest to the Sun.
Can humans breathe underwater without equipment?,FALSE,Biology,Easy,Humans require oxygen from air.
Is Mount Everest the highest mountain above sea level?,TRUE,Geography,Easy,Everest is the highest peak.
Is electricity measured in volts?,TRUE,Physics,Easy,Voltage is measured in volts.
